,log_dir,frame_per_second,episode_reward,total_steps,total_episodes,total_time,target_q,actor_loss,critic_loss,success_rate,current_q1,current_q2,reward
0,MetaDrive-Tut-Hard-v0,1394,6.1030448135040345,1663,2,1.1928491592407227,,,,0.0,,,
1,MetaDrive-Tut-Hard-v0,1311,3.6879122839253546,2024,3,1.5429840087890625,,,,0.0,,,
2,MetaDrive-Tut-Hard-v0,1348,4.951659033537835,3734,5,2.7693421840667725,,,,0.0,,,
3,MetaDrive-Tut-Hard-v0,1393,6.070741536726005,4735,6,3.397909164428711,,,,0.0,,,
4,MetaDrive-Tut-Hard-v0,1416,6.769846565341737,5736,7,4.049318075180054,,,,0.0,,,
5,MetaDrive-Tut-Hard-v0,1381,7.5737919176442094,6737,8,4.8754332065582275,,,,0.0,,,
6,MetaDrive-Tut-Hard-v0,1381,8.10310123806678,7738,9,5.601696014404297,,,,0.0,,,
7,MetaDrive-Tut-Hard-v0,1332,8.638024231167629,8739,10,6.559466123580933,,,,0.0,,,
8,MetaDrive-Tut-Hard-v0,1293,8.160138977828474,9524,11,7.363697052001953,,,,0.0,,,
9,MetaDrive-Tut-Hard-v0,1277,7.9031217250164865,10044,12,7.860628128051758,0.01537511870265007,,0.001230176305398345,0.0,0.017163898795843124,-0.00041944021359086037,0.012991536408662796
10,MetaDrive-Tut-Hard-v0,784,0.34055977308021435,11020,55,14.041916131973267,0.028176475316286087,,0.40268760919570923,0.0,0.05719977617263794,0.05837659165263176,-0.019174570217728615
11,MetaDrive-Tut-Hard-v0,617,-0.6384846970829573,12104,76,19.59318494796753,0.060030747205019,,0.016249598935246468,0.0,0.0538715198636055,0.04810591787099838,0.026612862944602966
12,MetaDrive-Tut-Hard-v0,538,-1.0468005173214703,13010,88,24.141336917877197,0.0008541359566152096,,0.5590380430221558,0.0,0.05358884111046791,0.042242925614118576,-0.026162676513195038
13,MetaDrive-Tut-Hard-v0,474,-1.9741543154419778,14039,114,29.568830013275146,0.011625703424215317,-0.06546719372272491,0.5349609851837158,0.0,0.08410241454839706,0.03300559148192406,-0.028530284762382507
